date,medicine_name,quantity_sold
2026-05-19,Paracetamol,15
2026-05-19,Amoxicillin,8
2026-05-19,Ibuprofen,5
2026-05-20,Metformin,20
2026-05-20,Paracetamol,30
2026-05-20,Omeprazole,12
2026-05-21,Amoxicillin,15
2026-05-21,Ibuprofen,10
2026-05-21,Atorvastatin,8
2026-05-22,Paracetamol,25
2026-05-22,Omeprazole,10
2026-05-22,Metformin,15
2026-05-23,Paracetamol,40
2026-05-23,Amoxicillin,20
2026-05-23,Cetirizine,18
2026-05-24,Ibuprofen,22
2026-05-24,Metformin,25
2026-05-24,Omeprazole,8
2026-05-25,Paracetamol,35
2026-05-25,Amoxicillin,12
2026-05-25,Azithromycin,10
2026-05-26,Paracetamol,20
2026-05-26,Ibuprofen,15
2026-05-26,Atorvastatin,10
2026-05-27,Metformin,30
2026-05-27,Omeprazole,15
2026-05-27,Paracetamol,45
2026-05-28,Amoxicillin,18
2026-05-28,Ibuprofen,12
2026-05-28,Cetirizine,15
